uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,tagID,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,hairSampleContents,voucherSampleID,measuredBy,recordedBy,remarks
270ea154-44bd-4861-95a5-07930b413ddc,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,F2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
c2f20480-6613-4a2e-a4e0-a7a1712c6e74,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,F3,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
ee6bc717-0ed1-494f-b3de-2fbbecb2600e,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,F4,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
e3b74887-acf0-4d69-b5f3-880bf398031a,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,F5,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
caf10fee-4dca-462d-a71d-6ff3a30da9c9,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D1,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
d0737223-3a87-4d5b-96e7-738701df3d49,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D3,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
6e2d3fd6-9a13-4af4-a09c-0e58654fc396,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
6ebf86e8-8424-405a-a3eb-2f32ed9f6dbb,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D4,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
8c2543e6-9909-4139-a05f-3eff37afc027,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D5,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
110b7e0a-7ba8-4f1f-9c64-9dbcb135c52b,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,D6,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
